"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Brasil, Município e Microrregião Geográfica";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil, Município e Microrregião Geográfica";"2010";;;;;"2011";;;;;"2012";;;;;"2013";;;;;"2014";;;;;"2015";;;;;"2016";;;;;"2017";;;;;"2018";;;;;"2019";;;;;"2020"
"Brasil, Município e Microrregião Geográfica";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão"
"Caicó (RN)";"235";"-";"25";"12";"-";"1017";"-";"30";"21";"-";"614";"-";"38";"2";"-";"641";"-";"38";"-";"-";"446";"-";"2";"-";"-";"224";"-";"2";"-";"-";"342";"-";"-";"-";"-";"195";"-";"-";"-";"-";"149";"-";"-";"-";"-";"118";"-";"-";"5";"-";"100";"-";"-";"-";"-"
"Campo Redondo (RN)";"363";"-";"-";"-";"-";"1553";"-";"-";"-";"-";"108";"-";"-";"-";"-";"396";"-";"-";"-";"-";"964";"-";"-";"-";"-";"1560";"-";"-";"-";"-";"909";"-";"-";"-";"-";"490";"-";"-";"-";"-";"923";"-";"-";"-";"-";"1074";"-";"-";"-";"-";"1105";"-";"-";"-";"-"
"Canguaretama (RN)";"9017";"0";"8000";"-";"-";"9175";"-";"8000";"-";"-";"15911";"-";"15000";"-";"-";"15806";"-";"15000";"-";"-";"15751";"-";"15000";"-";"-";"15786";"-";"15000";"-";"-";"15731";"-";"15000";"-";"-";"15751";"-";"15000";"-";"-";"15746";"-";"15000";"-";"-";"15806";"-";"15000";"-";"-";"15746";"-";"15000";"-";"-"
"Caraúbas (RN)";"5089";"-";"-";"25";"-";"7184";"-";"-";"25";"-";"5475";"-";"-";"15";"-";"5940";"-";"-";"35";"-";"4670";"-";"-";"35";"-";"4360";"-";"-";"40";"-";"2745";"-";"-";"40";"-";"2826";"-";"-";"60";"-";"1216";"-";"-";"100";"-";"1685";"-";"-";"110";"150";"2125";"-";"-";"130";"150"
"Carnaúba dos Dantas (RN)";"132";"-";"-";"-";"-";"476";"-";"-";"-";"-";"121";"-";"-";"-";"-";"50";"-";"-";"-";"-";"248";"-";"-";"-";"-";"420";"-";"-";"-";"-";"618";"-";"-";"-";"-";"528";"-";"-";"10";"-";"626";"-";"-";"100";"-";"363";"-";"-";"50";"-";"98";"-";"-";"-";"-"
"Carnaubais (RN)";"1959";"-";"-";"65";"10";"2201";"-";"-";"75";"12";"989";"-";"-";"50";"-";"1464";"-";"-";"60";"-";"1753";"-";"-";"66";"-";"1303";"-";"-";"65";"-";"1185";"-";"-";"60";"-";"1029";"-";"-";"40";"6";"2158";"-";"-";"185";"25";"3285";"-";"-";"400";"15";"2503";"-";"-";"110";"5"
"Ceará-Mirim (RN)";"11360";"7";"8000";"-";"-";"10014";"7";"6800";"-";"-";"9972";"7";"6800";"-";"-";"4907";"7";"1500";"10";"-";"7127";"7";"3000";"90";"-";"7620";"-";"3000";"90";"-";"7520";"-";"3000";"90";"-";"7200";"-";"2580";"-";"-";"7620";"-";"3000";"-";"-";"8060";"-";"3000";"40";"-";"8460";"-";"3000";"-";"-"
"Cerro Corá (RN)";"8030";"-";"-";"-";"-";"8995";"-";"-";"-";"-";"9864";"-";"-";"-";"-";"3480";"-";"-";"-";"-";"7151";"-";"-";"-";"-";"6186";"-";"-";"-";"-";"5021";"-";"-";"-";"-";"6882";"-";"-";"-";"-";"7916";"-";"-";"-";"-";"9030";"-";"-";"-";"-";"8765";"-";"-";"12";"-"
"Coronel Ezequiel (RN)";"1503";"-";"-";"-";"-";"1521";"-";"-";"-";"-";"964";"-";"-";"-";"-";"1629";"-";"-";"-";"-";"1222";"-";"-";"-";"-";"1594";"-";"-";"-";"-";"1253";"-";"-";"-";"-";"838";"-";"-";"-";"-";"1243";"-";"-";"-";"-";"1185";"-";"-";"2";"-";"836";"-";"-";"2";"-"
"Coronel João Pessoa (RN)";"1165";"-";"60";"-";"-";"1138";"-";"40";"-";"-";"822";"-";"40";"-";"-";"697";"-";"7";"-";"-";"930";"-";"20";"-";"-";"757";"-";"22";"-";"-";"741";"-";"10";"-";"-";"723";"-";"-";"-";"-";"862";"-";"10";"-";"-";"632";"-";"5";"-";"-";"671";"-";"7";"-";"-"
"Cruzeta (RN)";"125";"-";"-";"2";"1";"224";"-";"-";"30";"30";"184";"-";"-";"30";"30";"93";"-";"-";"10";"10";"247";"-";"-";"20";"20";"247";"-";"-";"-";"-";"327";"-";"-";"40";"6";"448";"-";"-";"-";"-";"458";"-";"-";"8";"2";"239";"-";"-";"10";"6";"60";"-";"-";"3";"-"
"Currais Novos (RN)";"623";"-";"-";"8";"-";"865";"-";"-";"5";"-";"257";"-";"-";"-";"-";"302";"-";"-";"-";"-";"1444";"-";"-";"-";"-";"584";"-";"-";"-";"-";"584";"-";"-";"-";"-";"546";"-";"-";"-";"-";"346";"-";"-";"-";"-";"344";"-";"-";"-";"-";"269";"-";"-";"-";"-"
"Doutor Severiano (RN)";"948";"-";"6";"-";"-";"991";"-";"4";"-";"-";"861";"-";"4";"-";"-";"745";"-";"3";"-";"-";"1031";"-";"4";"-";"-";"739";"-";"15";"-";"-";"844";"-";"10";"-";"-";"761";"-";"1";"-";"-";"959";"-";"1";"-";"-";"954";"-";"3";"-";"-";"960";"-";"3";"-";"-"
"Parnamirim (RN)";"1409";"-";"242";"-";"-";"1280";"-";"242";"-";"-";"1455";"-";"242";"-";"-";"808";"-";"120";"-";"-";"678";"-";"20";"-";"-";"598";"-";"10";"-";"-";"270";"-";"-";"-";"-";"252";"-";"-";"-";"-";"230";"-";"-";"-";"-";"220";"-";"-";"-";"-";"230";"-";"-";"-";"-"
"Encanto (RN)";"225";"-";"6";"-";"-";"821";"-";"6";"-";"-";"634";"-";"6";"-";"-";"694";"-";"6";"-";"-";"792";"-";"7";"-";"-";"57";"-";"-";"-";"-";"211";"-";"5";"-";"-";"325";"-";"1";"-";"-";"341";"-";"1";"-";"-";"387";"-";"1";"-";"-";"402";"-";"1";"-";"-"
"Equador (RN)";"377";"-";"-";"-";"-";"384";"-";"-";"4";"-";"339";"-";"-";"-";"-";"250";"-";"-";"-";"-";"195";"-";"-";"30";"1";"152";"-";"-";"10";"-";"210";"-";"-";"5";"-";"139";"-";"-";"-";"-";"349";"-";"-";"-";"-";"336";"-";"-";"-";"-";"302";"-";"-";"-";"-"
"Espírito Santo (RN)";"326";"3";"0";"-";"-";"398";"1";"30";"-";"-";"347";"-";"30";"-";"-";"227";"-";"30";"-";"-";"372";"-";"30";"-";"-";"367";"-";"30";"-";"-";"300";"-";"30";"-";"-";"178";"-";"30";"-";"-";"187";"-";"30";"-";"-";"167";"-";"30";"-";"-";"172";"-";"30";"-";"-"
"Extremoz (RN)";"1478";"-";"415";"-";"-";"1585";"-";"415";"-";"-";"1395";"-";"415";"-";"-";"1370";"-";"415";"-";"-";"646";"20";"-";"-";"-";"538";"20";"-";"2";"-";"552";"5";"-";"2";"-";"565";"5";"-";"2";"-";"614";"5";"-";"2";"-";"630";"5";"-";"2";"-";"583";"3";"-";"5";"-"
"Felipe Guerra (RN)";"228";"-";"-";"12";"-";"840";"-";"-";"13";"-";"368";"-";"-";"15";"-";"548";"-";"-";"20";"-";"583";"-";"-";"20";"-";"373";"-";"-";"30";"3";"419";"-";"-";"40";"2";"441";"-";"-";"40";"2";"633";"-";"-";"60";"6";"503";"-";"-";"60";"6";"492";"-";"-";"60";"5"
"Fernando Pedroza (RN)";"130";"-";"-";"-";"-";"180";"-";"-";"-";"-";"340";"-";"-";"-";"-";"85";"-";"-";"-";"-";"165";"-";"-";"-";"-";"195";"-";"-";"-";"-";"220";"-";"-";"-";"-";"270";"-";"-";"-";"-";"505";"-";"-";"-";"-";"160";"-";"-";"-";"-";"140";"-";"-";"-";"-"
"Florânia (RN)";"1103";"-";"-";"3";"-";"1475";"-";"-";"3";"-";"1162";"-";"-";"-";"-";"1352";"-";"-";"-";"-";"2232";"-";"-";"-";"-";"2190";"-";"-";"-";"-";"1720";"-";"-";"2";"-";"1045";"-";"-";"2";"-";"1462";"-";"-";"4";"-";"1789";"-";"2";"6";"-";"1573";"-";"-";"9";"-"
"Francisco Dantas (RN)";"188";"-";"2";"-";"-";"597";"-";"2";"-";"-";"566";"-";"-";"-";"-";"566";"-";"-";"-";"-";"552";"-";"-";"-";"-";"455";"-";"-";"-";"-";"314";"-";"-";"-";"-";"281";"-";"-";"-";"-";"221";"-";"-";"-";"-";"471";"-";"-";"-";"-";"461";"-";"-";"-";"-"
"Frutuoso Gomes (RN)";"474";"-";"25";"6";"-";"545";"-";"15";"5";"-";"422";"-";"3";"-";"-";"404";"-";"-";"-";"-";"535";"-";"6";"-";"-";"388";"-";"20";"-";"-";"245";"-";"17";"-";"-";"309";"-";"8";"-";"-";"384";"-";"8";"-";"-";"459";"-";"8";"-";"-";"491";"-";"10";"-";"-"
"Galinhos (RN)";"2200";"-";"-";"-";"180";"2292";"-";"-";"-";"200";"2022";"-";"-";"-";"180";"1942";"-";"-";"-";"180";"1314";"-";"-";"25";"200";"1637";"-";"-";"100";"285";"806";"-";"-";"100";"180";"817";"-";"-";"100";"320";"812";"-";"-";"65";"350";"534";"-";"-";"20";"200";"511";"-";"-";"70";"130"
"Goianinha (RN)";"6958";"-";"5528";"-";"-";"6993";"-";"5528";"-";"-";"6658";"-";"5528";"-";"-";"6295";"-";"5600";"-";"-";"6455";"-";"5600";"-";"-";"6405";"-";"5600";"-";"-";"6365";"-";"5600";"-";"-";"6433";"-";"5680";"-";"-";"6563";"-";"5800";"-";"-";"6513";"-";"5800";"-";"-";"6473";"-";"5800";"-";"-"
"Governador Dix-Sept Rosado (RN)";"408";"-";"-";"20";"5";"2254";"-";"-";"10";"5";"562";"-";"-";"12";"5";"1793";"-";"-";"15";"5";"2091";"-";"-";"40";"5";"1806";"-";"-";"60";"60";"1826";"-";"-";"60";"300";"1982";"-";"-";"70";"350";"1887";"-";"-";"60";"360";"3981";"-";"-";"50";"360";"4271";"-";"-";"50";"400"
"Grossos (RN)";"33";"-";"-";"4";"-";"578";"-";"-";"6";"-";"165";"-";"-";"5";"-";"283";"-";"-";"8";"-";"227";"-";"-";"10";"-";"1339";"-";"-";"12";"-";"705";"-";"-";"10";"-";"705";"-";"-";"10";"-";"615";"-";"-";"10";"-";"615";"-";"-";"10";"-";"655";"-";"-";"10";"-"
"Guamaré (RN)";"1495";"-";"-";"10";"-";"1626";"-";"-";"12";"-";"1192";"-";"-";"12";"-";"127";"-";"-";"-";"-";"611";"-";"-";"-";"-";"830";"-";"-";"-";"-";"736";"-";"-";"-";"-";"726";"-";"-";"-";"-";"366";"-";"-";"-";"-";"1316";"-";"-";"-";"-";"1163";"-";"-";"-";"-"
"Ielmo Marinho (RN)";"1902";"600";"-";"-";"-";"2523";"600";"350";"-";"-";"724";"390";"86";"-";"-";"1228";"390";"100";"3";"-";"1615";"700";"150";"3";"-";"1594";"700";"150";"-";"-";"1836";"1000";"180";"3";"-";"2141";"1000";"180";"3";"-";"2202";"1000";"180";"-";"-";"2255";"1000";"180";"3";"-";"2255";"1000";"180";"3";"-"
"Ipanguaçu (RN)";"3047";"-";"-";"30";"5";"2971";"-";"-";"40";"8";"1583";"-";"-";"20";"10";"1588";"-";"-";"15";"10";"2676";"-";"-";"20";"-";"2116";"-";"-";"20";"-";"2555";"-";"-";"15";"422";"1974";"-";"-";"-";"-";"2044";"-";"-";"10";"-";"1882";"-";"-";"-";"-";"1995";"-";"-";"15";"-"
"Ipueira (RN)";"34";"-";"-";"-";"-";"161";"-";"-";"5";"2";"37";"-";"-";"-";"-";"233";"-";"-";"-";"-";"140";"-";"-";"-";"-";"96";"-";"-";"-";"-";"131";"-";"-";"3";"-";"559";"-";"-";"-";"-";"549";"-";"-";"-";"-";"316";"-";"-";"3";"-";"202";"-";"-";"2";"-"
"Itajá (RN)";"121";"-";"-";"5";"-";"374";"-";"-";"8";"-";"8";"-";"-";"-";"-";"20";"-";"-";"5";"-";"110";"-";"-";"-";"-";"120";"-";"-";"-";"-";"220";"-";"-";"-";"-";"263";"-";"-";"-";"-";"460";"-";"-";"-";"-";"220";"-";"-";"-";"-";"180";"-";"-";"-";"-"
"Itaú (RN)";"385";"-";"-";"-";"-";"1375";"-";"-";"-";"-";"645";"-";"-";"-";"-";"1385";"-";"-";"-";"-";"1705";"-";"-";"-";"-";"526";"-";"-";"-";"-";"1371";"-";"-";"-";"-";"1616";"-";"-";"-";"-";"1236";"-";"-";"-";"-";"1393";"-";"-";"-";"-";"1443";"-";"-";"-";"-"
"Jaçanã (RN)";"1713";"-";"-";"-";"-";"1639";"-";"-";"-";"-";"1121";"-";"-";"-";"-";"1116";"-";"-";"-";"-";"1451";"-";"-";"-";"-";"1032";"-";"-";"-";"-";"941";"-";"-";"-";"-";"809";"-";"-";"-";"-";"1159";"-";"-";"-";"-";"1217";"-";"-";"-";"-";"979";"-";"-";"-";"-"
"Jandaíra (RN)";"729";"-";"-";"10";"4";"1263";"-";"-";"10";"15";"1246";"-";"-";"10";"15";"569";"-";"-";"10";"15";"447";"-";"-";"10";"15";"494";"-";"-";"10";"15";"583";"-";"-";"10";"15";"378";"-";"-";"10";"15";"668";"-";"-";"20";"130";"850";"-";"-";"30";"120";"810";"-";"-";"30";"100"
"Janduís (RN)";"24";"-";"1";"-";"-";"507";"-";"1";"-";"-";"315";"-";"1";"-";"-";"486";"-";"1";"-";"-";"453";"-";"-";"-";"-";"253";"-";"-";"-";"-";"293";"-";"-";"-";"-";"306";"-";"-";"-";"-";"296";"-";"-";"-";"-";"331";"-";"-";"-";"-";"406";"-";"-";"-";"-"
